,Year,Month,Start_Datetime,Restore_Datetime,Duration,Utility,NERC_Region,Area,Type,Loss_megawatts,Num_Customers_Affected
472,2017,10.0,2017-10-23 17:50:00,2017-10-24 18:17:00,1467.0,Duke Energy Carolinas,SERC,NC: SC:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",440,115144
473,2017,10.0,2017-10-26 08:17:00,2017-10-26 08:41:00,24.0,Peak Reliability,WECC,WA: Clark County;,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
474,2017,10.0,2017-10-26 08:17:00,2017-10-26 08:41:00,24.0,Bonneville Power Administration,WECC,WA: Whatcom County; MT:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Transmission Interruption,0,0
475,2017,10.0,2017-10-29 23:40:00,2017-11-01 18:08:00,3988.0,ISO New England,NPCC,CT: MA: NH: ME: RI: VT:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,310453
476,2017,11.0,2017-11-01 15:40:00,2017-11-01 22:00:00,380.0,Owensboro Municipal Utilities,SERC,KY: Daviess County;,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Generation Inadequacy,0,0
477,2017,11.0,2017-11-05 19:35:00,2017-11-05 23:09:00,214.0,Ohio Edison Co,RF,OH:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,89216
478,2017,11.0,2017-11-13 02:00:00,2017-11-15 08:17:00,3257.0,Puget Sound Energy,WECC,"WA: Island County, King County, Kitsap County, Thurston County, Skagit County, Whatcom County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,236100
479,2017,11.0,2017-11-13 16:33:00,2017-11-16 06:00:00,3687.0,"Seattle City Light, Sytem Control Center",WECC,WA: King County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",85,68430
480,2017,12.0,2017-12-04 21:53:00,,,Southern California Edison Co,WECC,CA:,Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident-Severe Weather/Transmission Interruption,540,263000
481,2017,12.0,2017-12-05 06:30:00,2017-12-06 10:00:00,1650.0,Consumers Energy Co,RF,"MI: Oscoda County, Isabella County, Roscommon County, Ogemaw County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,117500
482,2017,12.0,2017-12-07 20:00:00,2017-12-08 17:00:00,1260.0,CPS Energy,TRE,TX: Bexar County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,88000
483,2017,12.0,2017-12-08 09:30:00,2017-12-08 22:30:00,780.0,Entergy Corp,SERC,LA: MS:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,79000
484,2017,12.0,2017-12-08 10:00:00,2017-12-10 20:50:00,3530.0,Southern Company,SERC,AL: GA: MS:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",865,301872
485,2017,12.0,2017-12-10 01:25:00,2017-12-10 02:30:00,65.0,Southern California Edison Co,WECC,"CA: Ventura County, Santa Barbara County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather/Transmission Interruption",110,51323
486,2017,12.0,2017-12-13 09:55:00,2017-12-13 14:45:00,290.0,Long Island Power Authority,NPCC,NY: Suffolk County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,0,0
487,2017,12.0,2017-12-29 07:00:00,,,Upstate New York Power Producers,NPCC,NY: Tompkins County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,210,
488,2018,1.0,2018-01-01 17:43:00,,,American Electric Power - Texas,TRE,TX:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,,
489,2018,1.0,2018-01-01 18:21:00,2018-01-02 18:11:00,1430.0,Tennessee Valley Authority,SERC,TN:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,,
490,2018,1.0,2018-01-01 21:37:00,2018-01-02 10:30:00,773.0,Memphis Light Gas and Water Division,SERC,TN:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,,
491,2018,1.0,2018-01-02 06:45:00,2018-01-02 09:00:00,135.0,Duke Energy Progress,SERC,NC: SC:,System-wide voltage reductions of 3 percent or more-Severe Weather,14998,
492,2018,1.0,2018-01-02 07:30:00,,,South Carolina Electric and Gas,SERC,SC:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,0,717000
493,2018,1.0,2018-01-02 10:00:00,2018-02-12 08:00:00,58920.0,"Somerset Operating Company, LLC",NPCC,NY: Niagara County;,Fuel supply emergencies that could impact electric power system adequacy or reliability-Fuel Supply Deficiency,675,
494,2018,1.0,2018-01-15 04:20:00,2018-01-18 05:48:00,4408.0,American Electric Power - Texas,TRE,TX:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,,
495,2018,1.0,2018-01-16 13:57:00,2018-01-16 14:32:00,35.0,ERCOT,TRE,TX:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe Weather,,
496,2018,1.0,2018-01-16 15:00:00,2018-01-18 13:00:00,2760.0,Memphis Light Gas and Water Division,SERC,TN: Shelby County;,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,,
497,2018,1.0,2018-01-16 15:00:00,2018-01-18 13:00:00,2760.0,Tennessee Valley Authority,SERC,TN:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,,
498,2018,1.0,2018-01-17 05:10:00,2018-01-17 13:00:00,470.0,Cooperative Energy,SERC,MS:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,1788,420000
499,2018,1.0,2018-01-17 06:10:00,2018-01-17 14:00:00,470.0,Louisiana Generating LLC,SERC,LA:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,,
500,2018,1.0,2018-01-18 05:00:00,2018-01-18 09:45:00,285.0,Cooperative Energy,SERC,MS:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,1760,420000
501,2018,1.0,2018-01-18 05:00:00,2018-01-18 11:00:00,360.0,"Entergy Services, Inc.",SERC,AR: MS: LA: TX:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,31500,
502,2018,1.0,2018-01-18 06:00:00,,,Louisiana Generating LLC,SERC,LA:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-System Operations,,
503,2018,2.0,2018-02-08 13:25:00,2018-02-08 13:31:00,6.0,Pacific Gas & Electric Co,WECC,CA:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-System Operations,30,10900
504,2018,3.0,2018-03-01 11:43:00,2018-03-01 11:56:00,13.0,Pacific Gas & Electric Co,WECC,CA:,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe Weather,38,10898
505,2018,3.0,2018-03-01 21:57:00,2018-03-02 10:14:00,737.0,The Illuminating Company,RF,OH:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,86501
506,2018,3.0,2018-03-01 22:20:00,2018-03-04 20:00:00,4180.0,Detroit Edison Co,RF,"MI: Wayne County, Washtenaw County, Oakland County, Macomb County, Monroe County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,95000
507,2018,3.0,2018-03-02 07:00:00,,,Central Hudson Gas & Elec Corp,NPCC,"NY: Dutchess County, Orange County, Greene County, Ulster County, Putnam County, Sullivan County, Albany County, Columbia County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,90000
508,2018,3.0,2018-03-02 08:00:00,2018-03-03 23:00:00,2340.0,"American Electric Power - (RFC Reliability Region) (8400 Smiths Mill Road, New Albany Ohio 43054)",RF,VA: WV:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,65198
509,2018,3.0,2018-03-02 08:42:00,,,Niagara Mohawk Power Corporation (dba National Grid),NPCC,NY:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,63331
510,2018,3.0,2018-03-02 11:34:00,,,New York State Electric & Gas,NPCC,NY:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,50000
511,2018,3.0,2018-03-02 11:58:00,,,PPL Electric Utilities Corp,RF,"PA: Berks County, Bucks County, Carbon County, Chester County, Clinton County, Columbia County, Cumberland County, Dauphin County, Juniata County, Lackawanna County, Lancaster County, Lebanon County, Lehigh County, Luzerne County, Lycoming County, Monroe County, Montgomery County, Montour County, Northampton County, Northumberland County, Pike County, Schuylkill County, Snyder County;",Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system-Severe Weather,,126000
512,2018,3.0,2018-03-02 12:00:00,,,Baltimore Gas and Electric,RF,MD:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system-Severe Weather,670,474019
513,2018,3.0,2018-03-02 12:00:00,2018-03-05 00:00:00,3600.0,Exelon Corporation/PECO,RF,PA:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,630000
514,2018,3.0,2018-03-02 13:51:00,2018-03-04 12:11:00,2780.0,Metropolitan Edison Co,RF,PA:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,233136
515,2018,3.0,2018-03-02 13:51:00,2018-03-05 13:18:00,4287.0,ISO New England,NPCC,CT: MA: RI:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,325000
516,2018,3.0,2018-03-02 15:10:00,2018-03-06 04:57:00,5147.0,Jersey Central Power & Lt Co,RF,OH:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,249322
