data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8546106,48,BHR10096,10096,"14 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,"Bilad al Qadim",26.2117,50.5619,1,"AhlulBayt News Agency",Regional,"On 14 September 2021, protesters demonstrated in Bilad al Qadim, Karbabad, and Sitrah (Capital); and in Northern Sehla (Northern), against the Bahraini government's decision to normalize relations with Israel. This came as part of the 'Bahrainis against normalization' initiative taking place a year after the normalization agreement in September 2020. [size=no report]",0,1632168448,BHR
8546107,48,BHR10098,10098,"14 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Karbabad,26.2303,50.5294,1,"AhlulBayt News Agency",Regional,"On 14 September 2021, protesters demonstrated in Bilad al Qadim, Karbabad, and Sitrah (Capital); and in Northern Sehla (Northern), against the Bahraini government's decision to normalize relations with Israel. This came as part of the 'Bahrainis against normalization' initiative taking place a year after the normalization agreement in September 2020. [size=no report]",0,1632168448,BHR
8546110,48,BHR10100,10100,"14 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Northern,,,"Northern Sehla",26.2026,50.5304,1,"AhlulBayt News Agency",Regional,"On 14 September 2021, protesters demonstrated in Bilad al Qadim, Karbabad, and Sitrah (Capital); and in Northern Sehla (Northern), against the Bahraini government's decision to normalize relations with Israel. This came as part of the 'Bahrainis against normalization' initiative taking place a year after the normalization agreement in September 2020. [size=no report]",0,1632168448,BHR
8546111,48,BHR10099,10099,"14 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)",,6,,,0,60,"Middle East",Bahrain,Capital,,,Sitrah,26.1547,50.6206,1,"AhlulBayt News Agency",Regional,"On 14 September 2021, protesters demonstrated in Bilad al Qadim, Karbabad, and Sitrah (Capital); and in Northern Sehla (Northern), against the Bahraini government's decision to normalize relations with Israel. This came as part of the 'Bahrainis against normalization' initiative taking place a year after the normalization agreement in September 2020. [size=no report]",0,1632168448,BHR
8565545,48,BHR10094,10094,"14 September 2021",2021,1,Riots,"Mob violence","Rioters (Bahrain)",,5,,,0,50,"Middle East",Bahrain,Muharraq,,,Samahij,26.28,50.635,1,"AhlulBayt News Agency",Regional,"On 14 September 2021, rioters burned a National Bank of Bahrain ATM in Samahij (Muharraq). Source speculates that the bank was targeted because it signed a memorandum of understanding with Israeli banks Hapoalim and Leumi. [size=no report]",0,1632771510,BHR
8546116,48,BHR10097,10097,"13 September 2021",2021,1,Protests,"Peaceful protest","Protesters (India)","Labour Group (India); Protesters (Nepal); Labour Group (Nepal)",6,,,0,60,"Middle East",Bahrain,Capital,,,Sitrah,26.1547,50.6206,1,"Gulf Daily News",National,"On 13 September 2021, Indian and Nepalese workers protested near the private company where they worked in Sitrah (Capital) demanding better living conditions. The Labor and Social Development Ministry said that the workers' demands have been met thereby announcing the end of the protest. [size=no report]",0,1632168448,BHR
8629286,48,BHR10082,10082,"12 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Capital,,,Karbabad,26.2303,50.5294,1,"14 February Revolution Youth Coalition",Other,"On 12 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Karbabad (Capital) and Northern Sehla (Northern) against the Bahraini government's decision to normalize relations with Israel. This came as part of the 'Bahrainis against normalization' initiative taking place a year after the normalization agreement in September 2020. [size=no report]",0,1636407476,BHR
8629305,48,BHR10084,10084,"12 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,"Al Diraz",26.2181,50.4706,1,"14 February Revolution Youth Coalition",Other,"On 12 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Al Diraz (Northern) and Nuwaidrat (Southern) demanding the unconditional release of political prisoners. [size=no report]",0,1636407476,BHR
8629317,48,BHR10086,10086,"12 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Southern,,,Nuwaidrat,26.1347,50.5975,1,"14 February Revolution Youth Coalition",Other,"On 12 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Al Diraz (Northern) and Nuwaidrat (Southern) demanding the unconditional release of political prisoners. [size=no report]",0,1636407476,BHR
8629318,48,BHR10085,10085,"12 September 2021",2021,1,Protests,"Peaceful protest","Protesters (Bahrain)","February 14 Youth Coalition",6,,,0,60,"Middle East",Bahrain,Northern,,,"Northern Sehla",26.2026,50.5304,1,"14 February Revolution Youth Coalition",Other,"On 12 September 2021, protesters, including February 14 Youth Coalition, demonstrated in Karbabad (Capital) and Northern Sehla (Northern) against the Bahraini government's decision to normalize relations with Israel. This came as part of the 'Bahrainis against normalization' initiative taking place a year after the normalization agreement in September 2020. [size=no report]",0,1636407476,BHR
